,aes_mean_us,aes_std_us,aes_n,chacha_mean_us,chacha_std_us,chacha_n,diff_us (chacha-aes),t_stat,p_value
128,32.14658,13.886025006194068,10000,38.05369,20.6269990471922,10000,5.907110000000003,-23.756216152400356,8.244689632001545e-123
512,31.967779999999998,13.6328739962247,10000,39.935190000000006,21.994977803324897,10000,7.967410000000008,-30.789194011557147,1.6126246038854098e-202
2048,32.718920000000004,13.208842090983536,10000,39.04544,20.79285433714064,10000,6.326519999999995,-25.682439041113714,9.784023363075467e-143
